"";"t";"original_animal_id";"animal_year_id";"sex";"geometry"
"1";2007-03-20 15:00:00;3358;33580;"f";c(79927.1133700908, 6632424.93001121)
"2";2007-03-20 18:00:00;3358;33580;"f";c(80055.6923761903, 6632595.06665147)
"3";2007-03-20 21:00:00;3358;33580;"f";c(80050.808943819, 6632602.61458324)
"4";2007-03-21;3358;33580;"f";c(80052.4828170065, 6632594.40705893)
"5";2007-03-21 03:00:00;3358;33580;"f";c(80052.3071629031, 6632598.14391983)
"6";2007-03-21 06:00:00;3358;33580;"f";c(80248.3441776945, 6632510.98455686)
"7";2007-03-21 09:01:00;3358;33580;"f";c(81158.8269428286, 6632333.29642079)
"8";2007-03-21 12:01:00;3358;33580;"f";c(81642.0243758296, 6632454.00844571)
"9";2007-03-21 15:00:00;3358;33580;"f";c(81113.3968982444, 6631821.08616829)
"10";2007-03-21 18:00:00;3358;33580;"f";c(79596.1695903587, 6631538.53723925)
"11";2007-03-21 21:00:00;3358;33580;"f";c(78468.1863244771, 6631122.66783864)
"12";2007-03-22;3358;33580;"f";c(78537.3237321147, 6631078.81961756)
"13";2007-03-22 03:00:00;3358;33580;"f";c(78307.382114001, 6631001.28030656)
"14";2007-03-22 06:00:00;3358;33580;"f";c(78305.2829078204, 6630993.25103659)
"15";2007-03-22 09:00:00;3358;33580;"f";c(77814.6325713052, 6631125.77648147)
"16";2007-03-22 12:00:00;3358;33580;"f";c(78379.8035102042, 6630830.37467891)
"17";2007-03-22 15:00:00;3358;33580;"f";c(78701.3870232411, 6630757.40174015)
"18";2007-03-22 18:00:00;3358;33580;"f";c(79228.5070088769, 6630652.28393339)
"19";2007-03-22 21:00:00;3358;33580;"f";c(80334.4531596976, 6630845.34501785)
"20";2007-03-23 00:03:00;3358;33580;"f";c(81565.5438606673, 6629942.22626356)
"21";2007-03-23 03:00:00;3358;33580;"f";c(81859.0950694082, 6629996.59199591)
"22";2007-03-23 06:00:00;3358;33580;"f";c(81947.2934931102, 6629932.66246614)
"23";2007-03-23 09:00:00;3358;33580;"f";c(82033.7858781578, 6629892.06114046)
"24";2007-03-23 12:00:00;3358;33580;"f";c(82033.7754239477, 6629896.12806216)
"25";2007-03-23 15:00:00;3358;33580;"f";c(81884.8355693491, 6629691.58023273)
"26";2007-03-23 18:00:00;3358;33580;"f";c(82909.2440134778, 6629635.09439399)
"27";2007-03-23 21:00:00;3358;33580;"f";c(82780.5126876198, 6630209.02027232)
"28";2007-03-24;3358;33580;"f";c(82660.7164314534, 6629884.77667517)
"29";2007-03-24 03:00:00;3358;33580;"f";c(82306.7315468751, 6629800.27033317)
"30";2007-03-24 06:00:00;3358;33580;"f";c(82297.850317597, 6629800.62632434)
"31";2007-03-24 09:01:00;3358;33580;"f";c(81899.8922379516, 6629877.53293179)
"32";2007-03-24 12:01:00;3358;33580;"f";c(81874.223819754, 6629966.39231334)
"33";2007-03-24 15:00:00;3358;33580;"f";c(81587.198095161, 6630041.9767627)
"34";2007-03-24 18:00:00;3358;33580;"f";c(81621.1743751974, 6629947.06082159)
"35";2007-03-24 21:00:00;3358;33580;"f";c(81853.4291299852, 6629994.196173)
"36";2007-03-25;3358;33580;"f";c(81853.4891864278, 6629992.34840588)
"37";2007-03-25 03:00:00;3358;33580;"f";c(82074.6161601768, 6630271.74746569)
"38";2007-03-25 06:00:00;3358;33580;"f";c(81805.9709088891, 6630347.31101681)
"39";2007-03-25 09:00:00;3358;33580;"f";c(82220.6551181796, 6630579.37790998)
"40";2007-03-25 12:00:00;3358;33580;"f";c(82198.0078171832, 6630749.81881597)
"41";2007-03-25 15:00:00;3358;33580;"f";c(81334.7540775063, 6630753.98506783)
"42";2007-03-25 18:00:00;3358;33580;"f";c(80795.4605140534, 6630878.42477187)
"43";2007-03-25 21:00:00;3358;33580;"f";c(81004.8641920972, 6631827.90103513)
"44";2007-03-26;3358;33580;"f";c(80517.8545917256, 6632464.99038225)
"45";2007-03-26 03:00:00;3358;33580;"f";c(79700.9509361477, 6633471.42379843)
"46";2007-03-26 06:00:00;3358;33580;"f";c(79228.3625476868, 6633842.30316969)
"47";2007-03-26 09:00:00;3358;33580;"f";c(79455.1817712192, 6635287.51010283)
"48";2007-03-26 12:00:00;3358;33580;"f";c(79615.4060496595, 6635382.34058026)
"49";2007-03-26 15:00:00;3358;33580;"f";c(79637.3935198246, 6635247.69395372)
"50";2007-03-26 18:00:00;3358;33580;"f";c(79348.6717667688, 6635181.76543165)
"51";2007-03-26 21:00:00;3358;33580;"f";c(78342.5655572972, 6630833.09840971)
"52";2007-03-27;3358;33580;"f";c(78414.9169271438, 6630726.48106981)
"53";2007-03-27 03:00:00;3358;33580;"f";c(76607.570401297, 6627379.57632866)
"54";2007-03-27 06:01:00;3358;33580;"f";c(76335.8849256054, 6620928.7324893)
"55";2007-03-27 09:02:00;3358;33580;"f";c(74256.873379121, 6614168.33555725)
"56";2007-03-27 12:00:00;3358;33580;"f";c(74632.0519076682, 6608502.31696969)
"57";2007-03-27 15:00:00;3358;33580;"f";c(75152.8534036145, 6606620.16952742)
"58";2007-03-27 18:00:00;3358;33580;"f";c(77113.7568392802, 6605985.61763592)
"59";2007-03-27 21:00:00;3358;33580;"f";c(77027.1252083561, 6606040.48525051)
"60";2007-03-28;3358;33580;"f";c(77631.1880494537, 6606368.70396037)
"61";2007-03-28 03:00:00;3358;33580;"f";c(77811.2155502952, 6606318.17514504)
"62";2007-03-28 06:00:00;3358;33580;"f";c(77950.1939224287, 6605976.36271086)
"63";2007-03-28 09:00:00;3358;33580;"f";c(78457.0534974117, 6605547.99537327)
"64";2007-03-28 12:00:00;3358;33580;"f";c(77934.3487490781, 6606089.51355906)
"65";2007-03-28 15:00:00;3358;33580;"f";c(78287.9695478249, 6606159.57197125)
"66";2007-03-28 18:00:00;3358;33580;"f";c(78119.9260277108, 6605940.97916036)
"67";2007-03-28 21:00:00;3358;33580;"f";c(77730.634640921, 6606458.02317761)
"68";2007-03-29;3358;33580;"f";c(77774.050021324, 6606619.24979437)
"69";2007-03-29 03:00:00;3358;33580;"f";c(77675.9627478876, 6606799.06059649)
"70";2007-03-29 06:00:00;3358;33580;"f";c(77257.9602210174, 6606502.57055749)
"71";2007-03-29 09:00:00;3358;33580;"f";c(77400.2427817369, 6606015.80818255)
"72";2007-03-29 12:00:00;3358;33580;"f";c(76996.9959551912, 6605681.94671957)
"73";2007-03-29 15:00:00;3358;33580;"f";c(76603.6999222871, 6605642.96211183)
"74";2007-03-29 18:00:00;3358;33580;"f";c(76395.8908400093, 6605505.52598867)
"75";2007-03-29 21:00:00;3358;33580;"f";c(76136.2515997273, 6605821.60454978)
"76";2007-03-30;3358;33580;"f";c(75946.8855002539, 6605435.77920035)
"77";2007-03-30 03:00:00;3358;33580;"f";c(75940.7094136604, 6605452.05337128)
"78";2007-03-30 06:00:00;3358;33580;"f";c(75653.3902810181, 6605474.63100748)
"79";2007-03-30 09:00:00;3358;33580;"f";c(75626.6292648729, 6605625.34512044)
"80";2007-03-30 12:00:00;3358;33580;"f";c(75980.7396245348, 6605819.21762204)
"81";2007-03-30 15:00:00;3358;33580;"f";c(75683.8439545232, 6605943.33129911)
"82";2007-03-30 18:00:00;3358;33580;"f";c(75965.1108820277, 6605465.42777346)
"83";2007-03-30 21:00:00;3358;33580;"f";c(75858.3451815794, 6605392.69430929)
"84";2007-03-31;3358;33580;"f";c(75882.7894335521, 6605248.7145854)
"85";2007-03-31 03:00:00;3358;33580;"f";c(75893.1319793286, 6605258.99165742)
"86";2007-03-31 06:00:00;3358;33580;"f";c(75985.3177518447, 6604999.90986214)
"87";2007-03-31 09:00:00;3358;33580;"f";c(75532.4457624872, 6604972.12510186)
"88";2007-03-31 12:00:00;3358;33580;"f";c(75668.4965743702, 6605010.16523661)
"89";2007-03-31 15:00:00;3358;33580;"f";c(76620.9969900841, 6606273.82547187)
"90";2007-03-31 18:00:00;3358;33580;"f";c(75420.80891188, 6606441.14190067)
"91";2007-03-31 21:00:00;3358;33580;"f";c(75351.9823385396, 6605228.77633219)
"92";2007-04-01;3358;33580;"f";c(75552.2227024731, 6604913.19672074)
"93";2007-04-01 03:00:00;3358;33580;"f";c(75620.5039220902, 6604909.08986874)
"94";2007-04-01 06:00:00;3358;33580;"f";c(75763.3685381772, 6604616.90940156)
"95";2007-04-01 09:00:00;3358;33580;"f";c(75589.654690955, 6604928.61168405)
"96";2007-04-01 12:00:00;3358;33580;"f";c(75834.0694483449, 6605207.4474936)
"97";2007-04-01 15:00:00;3358;33580;"f";c(75735.1559305682, 6606131.0954236)
"98";2007-04-01 18:00:00;3358;33580;"f";c(75341.4551395951, 6605190.1505261)
"99";2007-04-01 21:00:00;3358;33580;"f";c(75656.9247902977, 6605451.5221965)
