"sim","method","dt","Tmax","delta","N","M","convergence","iterations","dt","beta1","beta2","beta3","gammasq"
1,"euler",0.0166666666666667,186,1,3,20,1,NA,0.0183181762695312,2.88548986343702,0.722945313658127,-0.200155633565382,3.74651442964009
1,"bbis",0.0166666666666667,186,1,3,20,52,58,1.28692889213562,4.58758606244952,1.78573026294131,-0.224365805238799,4.43486449466491
1,"euler",0.0166666666666667,372,2,7,20,1,NA,0.0159530639648438,2.47734874992678,0.821482639749693,-0.107541329253704,3.29542550640543
1,"bbis",0.0166666666666667,372,2,7,20,52,119,3.10935401916504,4.00328713859723,2.20855398545815,-0.135853231223126,3.80282327080444
1,"euler",0.0166666666666667,2232,12,47,20,1,NA,0.013746976852417,0.895986038612173,0.105243308847496,-0.0828877076656791,2.53527066043563
1,"bbis",0.0166666666666667,2232,12,47,20,52,161,7.65701389312744,3.51226648727431,1.59357112132862,-0.0943365862024425,2.60245695283851
1,"euler",0.0166666666666667,4464,24,95,20,1,NA,0.0070188045501709,0.408842362902086,0.0822576173122811,-0.0909740226441914,2.25056777823569
1,"bbis",0.0166666666666667,4464,24,95,20,0,51,4.18645715713501,2.09955758209196,0.797605111231965,-0.100252746371588,2.47524046197005
1,"euler",0.0166666666666667,8928,48,191,20,1,NA,0.00677609443664551,0.250924621770776,0.0923624896486161,-0.097839601104075,2.02973880464386
1,"bbis",0.0166666666666667,8928,48,191,20,52,98,15.6951570510864,1.73778678919019,0.400573688849522,-0.0964831819020791,3.29098510311591
2,"euler",0.0166666666666667,186,1,3,20,1,NA,0.00484991073608398,3.40317847818269,1.376382247228,-0.815974641647068,3.4937885235029
2,"bbis",0.0166666666666667,186,1,3,20,0,31,0.685683012008667,4.8068270655528,1.71914062601494,-0.61139269811664,4.38139870274511
2,"euler",0.0166666666666667,372,2,7,20,1,NA,0.014564037322998,2.5417416232083,1.06193535573301,-1.43097129279814,3.16280671591039
2,"bbis",0.0166666666666667,372,2,7,20,52,67,1.80643677711487,4.17714729875526,1.71259720516056,-1.04270070895431,4.2882353407641
2,"euler",0.0166666666666667,2232,12,47,20,1,NA,0.013390064239502,1.24439544434633,0.972645016641134,-0.364364191522139,1.7231414945219
2,"bbis",0.0166666666666667,2232,12,47,20,52,153,7.26030206680298,3.18873207250158,1.60742175611598,-0.241707333149713,2.48901911931205
2,"euler",0.0166666666666667,4464,24,95,20,1,NA,0.00804686546325684,0.547536447754502,0.309839649569105,-0.133007024747342,2.16180642761512
2,"bbis",0.0166666666666667,4464,24,95,20,52,272,22.0872778892517,2.4881245361923,1.17949573677771,-0.115989722011707,2.86584593334103
2,"euler",0.0166666666666667,8928,48,191,20,1,NA,0.00751614570617676,0.28961516044238,-0.0068180684511262,-0.0986419359999465,1.99232355937199
2,"bbis",0.0166666666666667,8928,48,191,20,52,115,18.521008014679,2.05893706136592,0.888669618262518,-0.0980364598937756,2.36051584266813
